GROUPE;MOT;REMPLACE;REMARQUES;;;;;;;;;;;
Auxiliaires;irais;;;;;;;;;;;;;
Auxiliaires;irait;;;;;;;;;;;;;
Auxiliaires;iras;;;;;;;;;;;;;
Auxiliaires;irez;;;;;;;;;;;;;
Auxiliaires;iriez;;;;;;;;;;;;;
Auxiliaires;irions;;;;;;;;;;;;;
Auxiliaires;irons;;;;;;;;;;;;;
Auxiliaires;iront;;;;;;;;;;;;;
Auxiliaires;ont;;;;;;;;;;;;;
Auxiliaires;sera;;;;;;;;;;;;;
Auxiliaires;serai;;;;;;;;;;;;;
Auxiliaires;seraient;;;;;;;;;;;;;
Auxiliaires;serais;;;;;;;;;;;;;
Auxiliaires;serait;;;;;;;;;;;;;
Auxiliaires;serez;;;;;;;;;;;;;
Auxiliaires;seriez;;;;;;;;;;;;;
Auxiliaires;serions;;;;;;;;;;;;;
Auxiliaires;serons;;;;;;;;;;;;;
Auxiliaires;seront;;;;;;;;;;;;;
Auxiliaires;soient;;;;;;;;;;;;;
Auxiliaires;sois;;;;;;;;;;;;;
Auxiliaires;soit;;;;;;;;;;;;;
Auxiliaires;sommes;;;;;;;;;;;;;
Auxiliaires;sont;;;;;;;;;;;;;
Auxiliaires;soyez;;;;;;;;;;;;;
Auxiliaires;soyons;;;;;;;;;;;;;
Auxiliaires;suis;;;;;;;;;;;;;
Auxiliaires;va;;;;;;;;;;;;;
Auxiliaires;vais;;;;;;;;;;;;;
Auxiliaires;vas;;;;;;;;;;;;;
Auxiliaires;vont;;;;;;;;;;;;;
Conjonctions;à moins que;;;;;;;;;;;;;
Conjonctions;ainsi;;;;;;;;;;;;;
Conjonctions;ainsi que;;;;;;;;;;;;;
Conjonctions;alors que;;;;;;;;;;;;;
Conjonctions;au contraire;;;;;;;;;;;;;
Conjonctions;au reste;;;;;;;;;;;;;
Conjonctions;au surplus;;;;;;;;;;;;;
Conjonctions;aussitôt que;;;;;;;;;;;;;
Conjonctions;bien que;;;;;;;;;;;;;
Conjonctions;c’est-à-dire;;;;;;;;;;;;;
Conjonctions;car;;;;;;;;;;;;;
Conjonctions;cependant;;;;;;;;;;;;;
Conjonctions;comme;;;;;;;;;;;;;
Conjonctions;comment;;;;;;;;;;;;;
Conjonctions;d’ailleurs;;;;;;;;;;;;;
Conjonctions;de manière que;;;;;;;;;;;;;
Conjonctions;de peur que;;;;;;;;;;;;;
Conjonctions;de plus;;;;;;;;;;;;;
Conjonctions;de sorte que;;;;;;;;;;;;;
Conjonctions;donc;;;;;;;;;;;;;
Conjonctions;en outre;;;;;;;;;;;;;
Conjonctions;enfin;;;;;;;;;;;;;
Conjonctions;et;;;;;;;;;;;;;
Conjonctions;lorsque;;;;;;;;;;;;;
Conjonctions;mais;;;;;;;;;;;;;
Conjonctions;néanmoins;;;;;;;;;;;;;
Conjonctions;ni;;;;;;;;;;;;;
Conjonctions;or;;;;;;;;;;;;;
Conjonctions;ou;;;;;;;;;;;;;
Conjonctions;où;;;;;;;;;;;;;
Conjonctions;par conséquent;;;;;;;;;;;;;
Conjonctions;parce que;;;;;;;;;;;;;
Conjonctions;pourquoi;;;;;;;;;;;;;
Conjonctions;pourtant;;;;;;;;;;;;;
Conjonctions;puis;;;;;;;;;;;;;
Conjonctions;puisque;;;;;;;;;;;;;
Conjonctions;quand;;;;;;;;;;;;;
Conjonctions;que;;;;;;;;;;;;;
Conjonctions;si;;;;;;;;;;;;;
Conjonctions;sinon;;;;;;;;;;;;;
Conjonctions;soit;;;;;;;;;;;;;
Conjonctions;tandis que;;;;;;;;;;;;;
Conjonctions;toutefois;;;;;;;;;;;;;
Conjonctions;vu que;;;;;;;;;;;;;
Elisions;à;;;;;;;;;;;;;
Elisions;c;;;;;;;;;;;;;
Elisions;d;;;;;;;;;;;;;
Elisions;j;;;;;;;;;;;;;
Elisions;l;;;;;;;;;;;;;
Elisions;m;;;;;;;;;;;;;
Elisions;n;;;;;;;;;;;;;
Elisions;qu;;;;;;;;;;;;;
Elisions;s;;;;;;;;;;;;;
Elisions;t;;;;;;;;;;;;;
Elisions;y;;;;;;;;;;;;;
Interjection;ah;;;;;;;;;;;;;
Interjection;eh;;;;;;;;;;;;;
Interjection;oh;;;;;;;;;;;;;
Interrogatifs et exclamatifs;beaucoup;;;;;;;;;;;;;
Interrogatifs et exclamatifs;combien;;;;;;;;;;;;;
Interrogatifs et exclamatifs;combiens;;;;;;;;;;;;;
Interrogatifs et exclamatifs;comme;;;;;;;;;;;;;
Interrogatifs et exclamatifs;comment;;;;;;;;;;;;;
Interrogatifs et exclamatifs;laquelle;;;;;;;;;;;;;
Interrogatifs et exclamatifs;où;;;;;;;;;;;;;
Interrogatifs et exclamatifs;pourquoi;;;;;;;;;;;;;
Interrogatifs et exclamatifs;qu;;;;;;;;;;;;;
Interrogatifs et exclamatifs;quand;;;;;;;;;;;;;
Interrogatifs et exclamatifs;que;;;;;;;;;;;;;
Interrogatifs et exclamatifs;quel;;;;;;;;;;;;;
Interrogatifs et exclamatifs;quelle;;;;;;;;;;;;;
Interrogatifs et exclamatifs;quelles;;;;;;;;;;;;;
Interrogatifs et exclamatifs;qui;;;;;;;;;;;;;
Interrogatifs et exclamatifs;quoi;;;;;;;;;;;;;
Prépositions et compléments;à;;;;;;;;;;;;;
Prépositions et compléments;afin de;;;;;;;;;;;;;
Prépositions et compléments;après;;;;;;;;;;;;;
Prépositions et compléments;auprès;;;;;;;;;;;;;
Prépositions et compléments;avant;;;;;;;;;;;;;
Prépositions et compléments;avec;;;;;;;;;;;;;
Prépositions et compléments;chez;;;;;;;;;;;;;
Prépositions et compléments;contre;;;;;;;;;;;;;
Prépositions et compléments;dans;;;;;;;;;;;;;
Prépositions et compléments;de;;;;;;;;;;;;;
Prépositions et compléments;depuis;;;;;;;;;;;;;
Prépositions et compléments;derrière;;;;;;;;;;;;;
Prépositions et compléments;des;;;;;;;;;;;;;
Prépositions et compléments;dès;;;;;;;;;;;;;
Prépositions et compléments;devant;;;;;;;;;;;;;
Prépositions et compléments;durant;;;;;;;;;;;;;
Prépositions et compléments;entre;;;;;;;;;;;;;
Prépositions et compléments;envers;;;;;;;;;;;;;
Prépositions et compléments;grâce;;;;;;;;;;;;;
Prépositions et compléments;hors;;;;;;;;;;;;;
Prépositions et compléments;jusqu;;;;;;;;;;;;;
Prépositions et compléments;jusque;;;;;;;;;;;;;
Prépositions et compléments;malgré;;;;;;;;;;;;;
Prépositions et compléments;par;;;;;;;;;;;;;
Prépositions et compléments;parmi;;;;;;;;;;;;;
Prépositions et compléments;pendant;;;;;;;;;;;;;
Prépositions et compléments;plein;;;;;;;;;;;;;
Prépositions et compléments;pour;;;;;;;;;;;;;
Prépositions et compléments;quant à;;;;;;;;;;;;;
Prépositions et compléments;sans;;;;;;;;;;;;;
Prépositions et compléments;sans;;;;;;;;;;;;;
Prépositions et compléments;sauf;;;;;;;;;;;;;
Prépositions et compléments;selon;;;;;;;;;;;;;
Prépositions et compléments;sous;;;;;;;;;;;;;
Prépositions et compléments;sur;;;;;;;;;;;;;
Prépositions et compléments;vers;;;;;;;;;;;;;
Prépositions et compléments;voici;;;;;;;;;;;;;
Prépositions et compléments;voilà;;;;;;;;;;;;;
Pronoms adverbiaux;en;;;;;;;;;;;;;
Pronoms adverbiaux;y;;;;;;;;;;;;;
Pronoms et adjectifs démonstratifs;ça;;;;;;;;;;;;;
